Date, Open, High, Low, Close, Volume
12/1/2015,323.9,325.56,323.5,324.46,6560.999619
11/30/2015,323.33,323.33,323.33,323.33,44.99999739
11/26/2015,323.33,323.33,322.78,323.29,1484.999914
11/25/2015,324.67,324.67,322.22,323.57,1925.999888
11/24/2015,322.36,322.8,322.22,322.36,7352.999574
11/23/2015,323.78,323.78,323.34,323.39,341.9999802
11/19/2015,324.12,326.11,323.89,324.44,2726.999842
11/18/2015,324.44,324.44,322.22,323.16,2699.999843
11/17/2015,316.78,323,316.78,322.33,5363.999689
11/16/2015,323.67,327.78,322.78,323.66,1079.999937
11/12/2015,325.56,327.78,321.22,327.36,3869.999776
11/11/2015,323.47,323.47,322.67,322.7,413.999976
11/10/2015,322.22,326.67,322.22,322.62,404.9999765
11/9/2015,322.22,322.22,322.22,322.22,8.999999478
11/5/2015,325.67,328.89,325.67,327.77,476.9999723
11/4/2015,325.78,329.97,322.78,328.21,2681.999844
11/3/2015,328.33,328.89,327.78,328.51,1124.999935
11/2/2015,327.54,328.56,327.54,328.01,14327.99917
10/29/2015,327.22,328.67,325.56,326.98,2267.999868
10/28/2015,325.89,327.79,325.89,326.78,38870.99775
10/27/2015,325.23,327,323.56,325.93,2132.999876
10/26/2015,325.79,328.89,325.79,327.62,13967.99919
10/21/2015,327.79,327.79,323,324.2,1583.999908
10/20/2015,323.02,328.89,323.01,327.8,3752.999782
10/19/2015,331.1,331.1,331.1,331.1,8.999999478
10/15/2015,320.33,320.68,320.31,320.54,1223.999929
10/14/2015,320.22,327.89,317.23,320.31,926.9999462
10/13/2015,313.33,331.11,312.78,326.87,16775.99903
10/12/2015,321.78,321.78,320.22,320.39,2024.999883
10/8/2015,323.56,323.56,323.33,323.38,746.9999567
10/7/2015,325.78,325.78,323.36,323.81,1970.999886
10/6/2015,325.22,325.68,325.22,325.59,557.9999676
10/5/2015,328.89,328.89,324.44,325.3,926.9999462
10/1/2015,327.83,328.89,327.83,328.44,134.9999922
9/30/2015,328.11,328.34,327.78,328.04,2546.999852
9/29/2015,328.33,328.39,327.78,327.82,4841.999719
9/28/2015,332.09,332.09,330.24,330.81,8936.999482
9/22/2015,329.89,329.89,327.78,329.01,2042.999882
9/21/2015,327.78,328.23,326.06,327.34,2681.999844
9/17/2015,332.22,332.76,329,329.37,2735.999841
9/16/2015,336.11,336.11,329.44,330.14,1277.999926
9/15/2015,333.22,333.28,332,332.62,323.9999812
9/14/2015,332.22,333.33,330,332.6,1061.999938
9/10/2015,325.28,333,325.28,328.96,116.9999932
9/9/2015,332.21,332.22,328.44,330.77,1169.999932
9/8/2015,332.78,334.44,332.22,333.11,872.9999494
9/7/2015,328.11,333.33,327.89,330.58,11825.99931
9/3/2015,337.78,337.78,329.33,330.62,1241.999928
9/2/2015,327.79,338.87,327.79,329.31,2744.999841
9/1/2015,344.44,345.56,323.77,324.71,10133.99941
8/31/2015,327.78,346.67,322.22,340.79,17576.99898
8/27/2015,329.83,329.84,327.89,329.78,9872.999427
8/26/2015,328.67,328.81,328.08,328.19,1898.99989
8/25/2015,334.44,334.44,325.39,326.44,1196.999931
8/24/2015,326.27,326.78,326.24,326.43,692.9999598
8/20/2015,327.78,328.33,327.78,327.79,2879.999833
8/19/2015,329.11,333.11,322.23,327.37,10691.99938
8/18/2015,333.22,333.22,329.34,330.22,3590.999792
8/17/2015,328.07,330.22,328.07,329.31,341.9999802
8/13/2015,328.6,332,328.6,329.11,1115.999935
8/12/2015,328.01,334.46,328.01,333.97,890.9999483
8/11/2015,333.44,335,333.33,333.5,11393.99934
8/10/2015,329.01,335,329.01,334.52,14021.99919
8/6/2015,336.78,337.22,336.11,336.64,7712.999553
8/5/2015,334.67,338.78,334.67,336.68,15524.9991
8/4/2015,333.59,336.89,333.59,336.28,25559.99852
8/3/2015,333.33,335,333.33,333.97,23228.99865
7/30/2015,334.58,336.44,334.58,335.57,6038.99965
7/29/2015,333.89,337.67,333.89,335.98,8927.999482
7/28/2015,336.67,337.5,336.11,336.69,16928.99902
7/27/2015,335,337.22,333.34,336.84,10673.99938
7/23/2015,334.33,340,334.33,337.51,12662.99927
7/22/2015,332.22,336.67,326.11,335.3,12824.99926
7/21/2015,334.44,334.44,331.11,332.14,710.9999588
7/14/2015,332.9,335.56,332.9,333.29,611.9999645
7/13/2015,333.33,336.56,331.89,333.13,2474.999856
7/9/2015,332.11,335.32,332.11,333.33,512.9999702
7/8/2015,331.78,335.56,331.78,334.33,3149.999817
7/7/2015,328.33,333.33,328.33,332.5,5930.999656
7/6/2015,327.67,331.89,327.67,328.4,2096.999878
7/2/2015,344.44,344.44,330.58,332.29,3968.99977
6/30/2015,323.33,338.34,323.33,338.33,968120.9438
6/29/2015,322.21,323.88,320.59,322.24,10331.9994
6/25/2015,325.32,325.32,323.22,323.36,458.9999734
6/24/2015,325,325,322.22,322.28,3797.99978
6/23/2015,327.22,327.22,323.11,323.83,5489.999682
6/22/2015,328.56,328.56,324.11,325.91,116.9999932
6/18/2015,324.44,325.56,323.04,324.44,5102.999704
6/17/2015,327.67,327.67,322.78,323.66,4013.999767
6/16/2015,328.89,329.33,326.11,327.76,2249.99987
6/15/2015,327.78,329.89,325.61,327.96,3932.999772
6/11/2015,332.78,332.78,323.89,327.8,3590.999792
6/10/2015,327.78,337.77,327.78,332.68,17414.99899
6/9/2015,322.67,325.54,322.67,323.16,6515.999622
6/8/2015,327.78,330.11,322.89,323.72,16622.99904
6/4/2015,320,327.66,320,326.67,908.9999473
6/2/2015,327.67,328.78,326.83,327.3,22247.99871
6/1/2015,322.22,327.78,318.89,326.87,28529.99835
5/28/2015,328,328,322.22,323.6,37367.99783
5/27/2015,322.22,328.78,322.22,327.68,18026.99895
5/26/2015,320,322.22,320,321.32,5570.999677
5/25/2015,318.89,323.11,318.89,320.74,4472.999741
5/21/2015,319.56,319.56,316.67,316.77,1367.999921
5/20/2015,316.67,323.11,306.67,315.33,31247.99819
5/19/2015,316.67,321.11,316.67,318.31,24884.99856
5/18/2015,317.89,322.11,315.89,316.74,17432.99899
5/14/2015,323,324.44,320.23,320.96,14201.99918
5/13/2015,325.54,326.67,322.8,323.44,21059.99878
5/12/2015,322.5,326.11,322.33,325.5,3770.999781
5/11/2015,329.44,329.44,325.78,326.34,42416.99754
5/7/2015,338.78,339.44,330.11,332.73,4265.999753
5/6/2015,336.67,336.67,329.31,330.44,6398.999629
5/5/2015,338.89,339,335.78,337.76,16559.99904
5/4/2015,350,350,335.56,343.5,16343.99905
4/30/2015,332.78,347.59,327.22,345.73,227303.9868
4/29/2015,323.46,338.33,323.46,331.04,1808.999895
4/27/2015,328.89,335.56,328.89,333.73,8711.999495
4/23/2015,328.89,335.56,328.89,332.52,5966.999654
4/22/2015,332.22,334.44,331.67,331.79,5417.999686
4/21/2015,334.33,334.44,331.33,331.63,6353.999631
4/20/2015,331.11,334.89,331.11,332.13,3644.999789
4/16/2015,338.89,338.89,333.89,335.09,6299.999635
4/15/2015,338.89,342.11,333.44,334.23,14336.99917
4/13/2015,338.89,341.67,335.11,337.23,11987.9993
4/9/2015,335.56,337.73,332.46,333.22,12869.99925
4/8/2015,334.56,335.56,333.56,335.27,1016.999941
4/7/2015,335.11,337.21,333.33,335.13,3527.999795
4/6/2015,338.36,338.78,335.59,337,7181.999583
4/2/2015,341.67,344.32,338.48,339.43,52865.99693
4/1/2015,352.11,352.22,343.33,344.37,20366.99882
3/31/2015,345,353.33,340.33,350.74,308996.9821
3/30/2015,350,350,339,339.94,4292.999751
3/25/2015,347.22,347.22,341.78,345.64,6434.999627
3/24/2015,347.22,347.22,344,346.49,19907.99885
3/23/2015,349.44,349.89,343.56,346.3,24245.99859
3/19/2015,341.67,351.33,341.67,344.98,4328.999749
3/18/2015,347.67,353.09,345.89,347.39,20186.99883
3/16/2015,354.43,354.43,350.56,352.94,17621.99898
3/12/2015,344.44,349.33,344.33,348.56,103922.994
3/11/2015,336.64,344.33,336.56,343.23,27764.99839
3/10/2015,323.33,334.42,323.33,333.79,22742.99868
3/9/2015,322.44,333.22,322.44,330.66,20501.99881
3/4/2015,335.56,337.78,333.73,335.26,11357.99934
3/2/2015,343.33,343.56,336.11,337.52,17684.99897
2/26/2015,327.22,341.62,325,340.3,93527.99458
2/25/2015,324.46,325.56,322.22,325.36,26567.99846
2/24/2015,325.44,325.56,322.22,323.48,7928.99954
2/23/2015,323.68,327.22,319.22,322.04,10502.99939
2/19/2015,333.22,333.33,330.56,330.98,29303.9983
2/18/2015,332.78,333.33,329.68,330.64,27701.99839
2/17/2015,325.44,333.33,320,329.16,41309.9976
2/16/2015,324.33,324.33,318.89,319.78,7406.99957
2/12/2015,322.22,322.22,320,320.17,11951.99931
2/11/2015,323.56,324.89,321.11,321.23,13949.99919
2/10/2015,326.67,326.67,322.78,323.12,4562.999735
2/9/2015,326.67,326.67,322.89,323.03,22202.99871
2/5/2015,327.78,333.33,325.83,327.64,11996.9993
2/4/2015,325.28,330.44,324.44,327.78,4913.999715
2/3/2015,323.33,324.22,322.22,322.32,27611.9984
2/2/2015,322.22,325.44,322.22,322.56,102446.9941
1/29/2015,308.89,328.59,308.89,326.04,86624.99498
1/28/2015,311.19,315.53,311.19,312.96,1259.999927
1/27/2015,310,311.56,310,311.19,1349.999922
1/26/2015,309.22,311.11,309.22,310.11,593.9999655
1/22/2015,311,311.11,306.9,308.4,2582.99985
1/21/2015,312.23,312.78,307.78,309.81,5849.999661
1/20/2015,313.89,314.44,311.11,313.52,7847.999545
1/19/2015,316.67,318.22,311.28,312.61,7298.999577
1/15/2015,311.89,321.11,311.89,320.44,28178.99837
1/14/2015,311.11,319.33,311.11,317.07,18044.99895
1/13/2015,309.56,312,309.44,311.12,21275.99877
1/12/2015,305.11,312.11,303.33,311.4,59129.99657
1/8/2015,298.89,303.67,298.89,303,16046.99907
1/7/2015,297.22,299.32,296.22,297.47,9908.999425
1/6/2015,295.44,298.22,292.67,297.38,4976.999711
1/5/2015,292.33,295.56,292.33,292.89,1772.999897
1/1/2015,296.56,296.56,293.33,295.67,1439.999916
12/30/2014,290,295.56,290,294.48,5363.999689
12/29/2014,289.12,289.12,286.69,288.13,9620.999442
12/24/2014,292.89,295,291.67,291.9,656.9999619
12/23/2014,292.78,293.22,291.11,291.78,2420.99986
12/22/2014,293.89,294.44,291.22,292.56,2375.999862
12/18/2014,293.44,299.33,293.44,294.43,818.9999525
12/17/2014,295.56,297.78,294.44,294.63,3869.999776
12/15/2014,295.67,300,291.78,297.22,1421.999918
12/11/2014,310.56,310.56,303.33,305.44,6902.9996
12/10/2014,305.56,308.11,305.56,306.6,4949.999713
12/9/2014,304.44,305.33,302.78,304.57,3149.999817
12/8/2014,302.78,305,302.22,302.61,53549.99689
11/27/2014,286.67,301.58,286.67,300.96,46349.99731
11/25/2014,287.22,287.22,287.22,287.22,449.9999739
11/24/2014,286.69,286.69,286.67,286.68,2249.99987
11/20/2014,300,300,298.33,299.64,2249.99987
11/19/2014,300.11,300.56,299.67,300.08,2699.999843
11/18/2014,299.61,300,299.61,299.76,14399.99916
11/17/2014,300,300.56,299.11,299.58,42749.99752
11/13/2014,297.9,300,297.9,299.96,113849.9934
11/12/2014,297.22,306.67,296.78,300.11,22949.99867
11/11/2014,301.22,301.22,297.78,299.93,297449.9827
11/10/2014,302.78,302.78,300.67,302.53,8099.99953
11/6/2014,302.8,302.89,302.8,302.82,1349.999922
11/5/2014,302.8,302.81,302.78,302.79,3149.999817
11/3/2014,302.83,302.83,302.79,302.8,1799.999896
10/30/2014,301.11,305.56,301.11,304.81,4049.999765
10/29/2014,308.22,308.22,305.56,305.72,9899.999426
10/23/2014,310,310,306.78,308.22,3149.999817
10/22/2014,306,306,306,306,899.9999478
10/21/2014,297.78,311,297.78,303.59,12149.9993
10/20/2014,300,305.1,300,300.47,4949.999713
10/16/2014,302.46,305.22,302.46,304.67,2249.99987
10/15/2014,301.67,308.64,301.67,304.29,8549.999504
10/14/2014,305.44,305.56,301.28,302.41,6749.999609
10/13/2014,307.66,307.66,297.8,301.03,4049.999765
10/2/2014,312.22,312.22,307.33,310.99,121499.993
10/1/2014,307.78,313.34,300,313.16,192599.9888
9/30/2014,298.89,314.11,295.67,310.89,172349.99
9/29/2014,303.22,303.22,297.78,299.16,25199.99854
9/25/2014,304.56,304.56,297.33,300.93,12149.9993
9/24/2014,305.89,305.89,305.67,305.78,10799.99937
9/23/2014,305.56,305.89,305.56,305.72,2249.99987
9/22/2014,305.56,305.56,300.33,302.2,6749.999609
9/18/2014,306.33,315.56,306.33,311.63,112049.9935
9/17/2014,304.44,307.56,304.44,306.33,35999.99791
9/16/2014,305.67,305.89,305.56,305.7,1349.999922
9/15/2014,301.11,306.44,301.11,305.57,39149.99773
9/11/2014,296.67,300,296.67,299.76,20699.9988
9/10/2014,295.56,298.89,295,297.64,20249.99883
9/9/2014,291.17,296.67,291.17,295.27,11249.99935
